,0
0,1
1,2
2,6
3,12
4,14
5,16
6,21
7,27
8,28
9,33
10,35
11,36
12,38
13,46
14,48
15,50
16,52
17,54
18,56
19,64
20,70
21,74
22,77
23,79
24,81
25,84
26,87
27,101
28,105
29,107
30,109
31,110
32,111
33,113
34,118
35,120
36,121
37,125
38,132
39,133
40,138
41,140
42,144
43,149
44,152
45,155
46,159
47,167
48,169
49,171
50,183
51,187
52,188
53,193
54,194
55,196
56,197
57,204
58,211
59,219
60,220
61,225
62,236
63,241
64,248
65,251
66,258
67,269
68,271
69,275
70,282
71,284
72,285
73,286
74,288
75,292
76,295
77,299
78,301
79,303
80,306
81,310
82,312
83,314
84,318
85,323
86,328
87,329
88,332
89,338
90,339
91,344
92,345
93,346
94,347
95,350
96,359
97,363
98,372
99,374
100,380
101,381
102,382
103,384
104,385
105,386
106,388
107,392
108,393
109,399
110,402
111,405
112,407
113,408
114,414
115,415
116,416
117,419
118,423
119,427
120,435
121,440
122,443
123,445
124,452
125,457
126,458
127,459
128,460
129,464
130,465
131,468
132,470
133,474
134,476
135,483
136,485
137,488
138,490
139,495
140,499
141,501
142,505
143,509
144,512
145,518
146,519
147,522
148,526
149,527
150,528
151,529
152,533
153,534
154,536
155,537
156,545
157,548
158,550
159,553
160,554
161,555
162,558
163,560
164,561
165,563
166,565
167,572
168,581
169,586
170,587
171,589
172,590
173,594
174,596
175,599
176,601
177,602
178,604
179,609
180,612
181,614
182,620
183,621
184,626
185,628
186,629
187,632
188,636
189,639
190,640
191,643
192,648
193,651
194,652
195,655
196,657
197,658
198,664
199,672
200,675
201,677
202,679
203,680
204,683
205,686
206,688
207,692
208,694
209,702
210,705
211,711
212,712
213,713
214,715
215,716
216,725
217,726
218,727
219,728
220,744
221,747
222,755
223,762
224,764
225,768
226,771
227,776
228,782
229,784
230,789
231,791
232,792
233,796
234,797
235,800
236,801
237,804
238,807
239,811
240,812
241,813
242,821
243,823
244,828
245,837
246,838
247,852
248,854
249,856
250,860
251,862
252,863
253,864
254,873
255,884
256,889
257,892
258,893
259,899
260,902
261,904
262,908
263,910
264,912
265,914
266,916
267,917
268,920
269,921
270,923
271,926
272,928
273,931
274,933
275,934
276,935
277,937
278,939
279,943
280,946
281,949
282,951
283,960
284,962
285,967
286,968
287,971
288,976
289,977
290,979
291,980
292,994
293,1010
294,1016
295,1017
296,1018
297,1019
298,1020
299,1021
300,1022
301,1030
302,1033
303,1035
304,1039
305,1041
306,1043
307,1044
308,1048
309,1055
310,1058
311,1068
312,1074
313,1077
314,1080
315,1085
316,1087
317,1089
318,1090
319,1091
320,1092
321,1094
322,1098
323,1102
324,1105
325,1109
326,1113
327,1118
328,1121
329,1122
330,1127
331,1128
332,1133
333,1139
334,1140
335,1146
336,1148
337,1150
338,1152
339,1161
340,1162
341,1164
342,1173
343,1177
344,1187
345,1188
346,1194
347,1204
348,1206
349,1209
350,1212
351,1215
352,1216
353,1219
354,1224
355,1236
356,1256
357,1260
358,1263
359,1265
360,1266
361,1268
362,1271
363,1278
364,1281
365,1284
366,1290
367,1291
368,1294
369,1297
370,1298
371,1300
372,1301
373,1305
374,1308
375,1309
376,1311
377,1321
378,1324
379,1328
380,1334
381,1342
382,1349
383,1354
384,1356
385,1374
386,1376
387,1378
388,1381
389,1385
390,1387
391,1388
392,1389
393,1390
394,1391
395,1395
396,1403
397,1404
398,1405
399,1408
400,1410
401,1413
402,1418
403,1420
404,1427
405,1430
406,1431
407,1435
408,1443
409,1448
410,1453
411,1459
412,1463
413,1464
414,1470
415,1472
416,1474
417,1476
418,1478
419,1488
420,1492
421,1497
422,1498
423,1501
424,1502
425,1510
426,1515
427,1516
428,1520
429,1523
430,1527
431,1528
432,1529
433,1531
434,1539
435,1541
436,1542
437,1546
438,1552
439,1562
440,1563
441,1569
442,1570
443,1571
444,1573
445,1577
446,1584
447,1589
448,1590
449,1591
450,1595
451,1604
452,1607
453,1608
454,1612
455,1613
456,1615
457,1616
458,1619
459,1620
460,1626
461,1634
462,1637
463,1640
464,1641
465,1644
466,1647
467,1650
468,1655
469,1656
470,1659
471,1670
472,1672
473,1673
474,1677
475,1680
476,1682
477,1684
478,1686
479,1691
480,1693
481,1694
482,1698
483,1700
484,1703
485,1704
486,1705
487,1707
488,1708
489,1713
490,1716
491,1717
492,1731
493,1732
494,1733
495,1735
496,1738
497,1742
498,1744
499,1752
500,1756
501,1757
502,1758
503,1759
504,1760
505,1764
506,1766
507,1768
508,1769
509,1772
510,1778
511,1781
512,1783
513,1789
514,1790
515,1795
516,1797
517,1801
518,1803
519,1805
520,1809
521,1811
522,1821
523,1833
524,1838
525,1842
526,1844
527,1850
528,1856
529,1859
530,1862
531,1863
532,1866
533,1874
534,1876
535,1878
536,1879
537,1884
538,1887
539,1890
540,1891
541,1892
542,1900
543,1901
544,1906
545,1907
546,1912
547,1913
548,1914
549,1917
550,1921
551,1924
552,1927
553,1940
554,1951
555,1957
556,1959
557,1964
558,1973
559,1980
560,1981
561,1982
562,1986
563,1989
564,1995
565,1997
566,1998
567,2003
568,2019
569,2024
570,2030
571,2035
572,2037
573,2039
574,2040
575,2042
576,2043
577,2049
578,2050
579,2055
580,2066
581,2067
582,2083
583,2084
584,2087
585,2094
586,2096
587,2100
588,2104
589,2105
590,2106
591,2109
592,2118
593,2119
594,2123
595,2126
596,2127
597,2129
598,2139
599,2143
600,2145
601,2147
602,2149
603,2150
604,2163
605,2165
606,2167
607,2169
608,2170
609,2172
610,2173
611,2175
612,2183
613,2188
614,2191
615,2192
616,2193
617,2206
618,2208
619,2212
620,2214
621,2215
622,2216
623,2217
624,2218
625,2227
626,2233
627,2239
628,2243
629,2246
630,2251
631,2260
632,2263
633,2264
634,2265
635,2266
636,2267
637,2268
638,2274
639,2276
640,2279
641,2280
642,2291
643,2292
644,2297
645,2299
646,2300
647,2303
648,2305
649,2308
650,2309
651,2311
652,2314
653,2317
654,2325
655,2328
656,2337
657,2339
658,2345
659,2349
660,2362
661,2363
662,2368
663,2372
664,2374
665,2375
666,2376
667,2377
668,2388
669,2394
670,2397
671,2400
672,2408
673,2413
674,2414
675,2416
676,2421
677,2429
678,2434
679,2441
680,2443
681,2451
682,2452
683,2459
684,2463
685,2464
686,2467
687,2468
688,2470
689,2472
690,2473
691,2474
692,2484
693,2487
694,2488
695,2494
696,2496
697,2504
698,2507
699,2509
700,2510
701,2513
702,2519
703,2523
704,2527
705,2533
706,2537
707,2538
708,2539
709,2548
710,2549
711,2551
712,2556
713,2567
714,2572
715,2573
716,2574
717,2581
718,2582
719,2590
720,2593
721,2598
722,2602
723,2603
724,2604
725,2608
726,2613
727,2614
728,2615
729,2616
730,2626
731,2632
732,2634
733,2636
734,2638
735,2639
736,2648
737,2650
738,2651
739,2655
740,2659
741,2660
742,2665
743,2668
744,2670
745,2676
746,2677
747,2680
748,2681
749,2685
750,2687
751,2688
752,2694
753,2696
754,2701
755,2705
756,2709
757,2711
758,2714
759,2715
760,2722
761,2723
762,2725
763,2727
764,2728
765,2729
766,2735
767,2738
768,2739
769,2747
770,2750
771,2752
772,2757
773,2759
774,2762
775,2764
776,2771
777,2772
778,2780
779,2781
780,2787
781,2792
782,2796
783,2798
784,2800
785,2802
786,2807
787,2808
788,2811
789,2814
790,2819
791,2820
792,2821
793,2828
794,2830
795,2834
796,2836
797,2838
798,2846
799,2848
800,2851
801,2852
802,2854
803,2862
804,2863
805,2868
806,2876
807,2877
808,2880
809,2881
810,2887
811,2892
812,2894
813,2896
814,2898
815,2903
816,2904
817,2906
818,2911
819,2913
820,2915
821,2926
822,2930
823,2932
824,2933
825,2938
826,2941
827,2946
828,2952
829,2954
